issues,size_kb,topics,commits,commits_per_day,forks_per_day,age_days,days_since_update,recently_upload,has_homepage,stars,watchers,watchers_per_fork,activity_ratio,fork_star_ratio,issues_per_size,avg_growth_rate,creation_year,creation_month
481,130682,6,0,0.0,3.788031723143475,1387,0,1,0,36286,36286,6.906357061286639,0.0,0.1447901452310745,0.003680662366183819,26.14265129682997,2021,8
1492,4841135,20,100,0.03409478349812479,2.693146948516877,2933,0,1,1,36233,36233,4.587036333713129,0.0,0.21799966881934096,0.00030819212680660075,12.349352419904568,2017,5
67,1544,9,6,0.0021223912274495934,0.9437566324725858,2827,0,1,0,36228,36228,13.578710644677662,0.0,0.07364266195589168,0.04336569579288026,12.81046676096181,2017,8
127,7123,0,0,0.0,2.6165912518853696,3315,0,1,1,36002,36002,4.150564906617477,0.0,0.2409243674138266,0.017827063447501405,10.857056694813028,2016,4
153,34847,4,0,0.0,4.666666666666667,738,0,1,1,35915,35915,10.42828106852497,0.0,0.0958904109589041,0.004390495867768595,48.59945872801082,2023,5
196,6925,20,0,0.0,0.7693261678379496,4838,0,1,1,35677,35677,9.58543793659323,0.0,0.1043219911430013,0.02829916257580133,7.372804298408762,2012,2
13,72907,8,0,0.0,2.734862148930688,3881,0,1,1,35084,35084,3.305445637836819,0.0,0.30252244548952545,0.00017830690733527184,9.037609479649666,2014,10
257,41169,0,0,0.0,4.03680981595092,815,1,1,0,34467,34467,10.47629179331307,0.0012254901960784314,0.09545085296506906,0.006242409521496235,42.2389705882353,2023,3
144,532291,7,50,0.11363636363636363,11.10909090909091,440,0,1,0,34462,34462,7.050327332242226,0.0,0.14183327046397587,0.00027052820632284533,78.14512471655328,2024,3
67,85204,9,24,0.005089058524173028,1.2506361323155217,4716,0,1,1,34235,34235,5.8045100033909796,0.0,0.17227479845776375,0.0007863388298808755,7.257790968836125,2012,6
75,28013,20,32,0.013888888888888888,2.1336805555555554,2304,0,1,1,34229,34229,6.962774613506916,0.0,0.14361671048787614,0.0026772328121653457,14.849891540130152,2019,2
686,56033,0,0,0.0,1.4572603332611989,4621,0,1,0,34100,34100,5.063855063855064,0.0,0.1974722148910589,0.012242567012885034,7.377758546083946,2012,9
228,180288,7,1,0.0008665511265164644,2.951473136915078,1154,0,1,0,34093,34093,10.009688784497945,0.0,0.09990027570833578,0.0012646362229531475,29.517748917748918,2022,3
281,58570,0,0,0.0,3.3320819112627986,2930,0,1,0,34045,34045,3.487145344668647,0.0,0.2867590906420725,0.004797596079971317,11.615489593995223,2017,5
98,130387,13,80,0.17738359201773837,6.073170731707317,451,0,1,1,34025,34025,12.42241694048923,0.0,0.08049726679597954,0.0007516029082430899,75.27654867256638,2024,2
449,891,0,0,0.0,3.8609659209701026,4783,0,1,0,33636,33636,1.821411165863432,0.0,0.5490085322710111,0.5033632286995515,7.030936454849498,2012,4
973,139269,13,100,0.13386880856760375,4.068273092369478,747,0,1,1,33454,33454,11.008226390259955,0.0,0.09083843969511284,0.0069864292381704605,44.724598930481285,2023,5
7916,60574,5,0,0.0,2.022204599524187,3783,0,1,0,33263,33263,4.348104575163399,0.0,0.22997835497835498,0.13068097399917458,8.790433403805498,2015,1
552,23355,5,15,0.0056753688989784334,0.8868709799470299,2643,0,1,1,33211,33211,14.168515358361775,0.0,0.07057689991569312,0.023634183935605412,12.56089258698941,2018,2
422,37851,0,100,0.02030456852791878,2.5468020304568526,4925,0,1,1,33144,33144,2.642430040660129,0.0,0.3784281188716247,0.011148684349572018,6.728380024360536,2011,11
13,1288,0,100,0.5649717514124294,32.0,177,0,1,0,32851,32851,5.799964689265536,0.0,0.17240959454523316,0.01008533747090768,184.5561797752809,2024,11
241,47313,6,0,0.0,5.138888888888889,648,0,1,0,32728,32728,9.828228228228229,0.0,0.10174463014452015,0.005093629792450437,50.42835130970724,2023,8
12,95664,3,26,0.06649616368286446,9.478260869565217,391,0,1,1,32696,32696,8.82245008094981,0.0,0.11334373184084166,0.00012543772539591282,83.40816326530613,2024,4
397,36857,15,73,0.10354609929078014,4.502127659574468,705,0,1,1,32536,32536,10.250787649653434,0.0,0.09755048099087194,0.010771067339519236,46.08498583569405,2023,6
260,3944,4,0,0.0,6.176795580110498,543,0,1,1,32381,32381,9.654442456768038,0.0,0.10357606077450436,0.06590621039290241,59.52389705882353,2023,11
449,125281,0,0,0.0,3.4229857819905214,844,0,1,0,32370,32370,11.204569055036345,0.0,0.08924654783602608,0.0035839146884628277,38.30769230769231,2023,2
1997,119751,1,100,0.04159733777038269,1.2616472545757071,2404,0,1,1,32336,32336,10.661391361688098,0.0,0.09379348733648761,0.01667613067005144,13.445322245322245,2018,10
179,59590,6,15,0.003899142188718482,0.8910839615284637,3847,0,1,0,32201,32201,9.393523920653442,0.0,0.10645301534066207,0.00300380930006209,8.368243243243244,2014,11
